Sexo;Idade;Curso;Curso_recod;Situação_laboral;Extroversão;Amabilidade;Conscienciosidade;Neuroticismo;Abertura;Realista;Investigativo;Artístico;Social;Empreendedor;Convencional;Preocupação;Controle;Curiosidade;Confiança;Autoeficácia_profissional
Feminino;24;Psicologia;Psicologia;Trabalha;2,88;3,89;3,56;1,75;3,50;4,38;5,88;3,88;5,88;4,38;3,63;3,67;3,83;3,00;3,17;3,29
Feminino;22;Psicologia;Psicologia;Não trabalha;4,00;3,56;4,56;2,50;4,00;3,00;5,50;3,25;6,50;5,38;3,50;4,33;5,00;4,83;4,50;4,57
Feminino;24;Psicologia;Psicologia;Trabalha;3,88;3,89;3,89;2,38;3,80;3,13;5,38;4,50;6,00;4,13;2,63;3,83;4,17;4,17;4,33;3,86
Feminino;27;Psicologia;Psicologia;Trabalha;4,50;4,00;3,44;2,75;3,44;2,00;3,00;1,88;6,63;5,00;2,43;4,67;4,00;4,40;4,17;4,43
Feminino;24;Psicologia;Psicologia;Não trabalha;4,00;4,22;3,25;3,00;2,20;3,38;3,88;3,00;7,00;4,00;3,38;4,67;3,50;3,33;4,67;4,57
Feminino;25;Psicologia;Psicologia;Trabalha;4,25;4,11;3,00;3,50;4,10;2,63;5,75;5,88;6,38;3,75;2,25;4,00;3,67;2,83;3,33;4,14
Feminino;24;Psicologia;Psicologia;Trabalha;3,50;3,67;3,11;3,13;3,10;2,88;5,13;4,38;6,38;4,00;2,00;3,50;3,67;3,00;4,50;3,71
Feminino;29;Psicologia;Psicologia;Não trabalha;4,13;4,56;4,22;1,25;4,40;3,75;6,50;5,25;6,38;4,38;4,13;4,50;4,33;4,83;3,83;4,43
Feminino;40;Psicologia;Psicologia;Não trabalha;4,50;4,11;4,44;2,75;3,70;2,88;6,00;4,63;6,50;3,63;2,00;4,17;4,50;3,67;4,33;4,71
Feminino;25;Psicologia;Psicologia;Não trabalha;3,75;3,67;3,33;3,13;3,30;1,38;3,88;2,75;5,75;4,25;2,00;3,83;3,67;2,83;3,50;4,00
Feminino;24;Psicologia;Psicologia;Trabalha;3,25;4,11;3,89;2,38;3,00;2,38;3,75;2,50;7,00;4,50;1,75;3,67;3,67;3,50;4,50;4,43
Feminino;22;Psicologia;Psicologia;Não trabalha;3,38;2,67;2,11;4,13;4,40;1,88;4,00;6,75;5,00;5,00;3,00;2,17;3,50;3,00;2,83;3,71
Feminino;25;Psicologia;Psicologia;Não trabalha;3,13;4,00;4,11;2,63;4,00;3,38;4,13;5,00;5,75;3,75;2,00;3,67;3,83;2,67;3,00;4,71
Feminino;33;Psicologia;Psicologia;Trabalha;3,75;3,78;3,33;2,00;2,60;1,63;5,50;3,75;6,13;4,25;2,50;3,83;3,67;3,33;3,67;4,00
Feminino;24;Psicologia;Psicologia;Trabalha;4,13;4,22;4,33;2,00;2,50;2,00;5,13;2,38;5,63;3,75;1,88;5,00;4,83;4,00;4,17;3,86
Feminino;24;Psicologia;Psicologia;Trabalha;3,00;4,56;3,78;3,13;3,20;2,38;4,88;4,88;6,57;4,13;1,88;3,83;4,17;4,00;4,17;4,71
Feminino;36;Psicologia;Psicologia;Não trabalha;2,88;3,78;3,78;2,75;2,40;2,50;5,38;4,00;6,38;3,00;2,50;4,00;3,67;3,67;3,67;4,14
Feminino;23;Psicologia;Psicologia;Trabalha;3,13;2,78;3,33;3,13;3,50;2,75;4,88;4,25;4,25;4,50;3,38;3,50;2,83;3,50;3,17;2,86
Masculino;55;Psicologia;Psicologia;Trabalha;3,25;4,56;3,44;2,50;4,80;7,00;6,00;6,25;7,00;4,63;1,00;3,17;5,00;5,00;5,00;5,00
Feminino;23;Psicologia;Psicologia;Trabalha;2,88;3,56;3,78;3,00;2,90;1,38;3,00;3,63;4,88;5,00;2,38;4,83;5,00;4,83;4,67;4,57
Feminino;22;Psicologia;Psicologia;Não trabalha;3,13;3,56;3,22;3,13;3,70;2,75;3,75;2,75;5,38;2,88;1,25;3,00;2,83;3,83;3,83;3,71
